Price,Close,High,Low,Open,Volume
Ticker,^IXF,^IXF,^IXF,^IXF,^IXF
Date,,,,,
2024-12-23,6533.419921875,6534.740234375,6483.6201171875,6523.9501953125,0
2024-12-24,6618.990234375,6619.2099609375,6546.8798828125,6551.3798828125,0
2024-12-26,6645.43017578125,6650.9599609375,6580.169921875,6585.830078125,0
2024-12-27,6544.66015625,6612.16015625,6509.35986328125,6590.14990234375,0
2024-12-30,6473.25,6504.33984375,6425.2099609375,6482.2900390625,0
2024-12-31,6445.25,6513.22998046875,6430.02978515625,6512.27001953125,0
2025-01-02,6446.56982421875,6516.330078125,6414.77001953125,6485.9599609375,0
2025-01-03,6531.64990234375,6532.31005859375,6428.169921875,6476.5,0
2025-01-06,6535.77001953125,6612.2099609375,6529.43994140625,6561.41015625,0
2025-01-07,6462.1201171875,6564.39990234375,6422.2998046875,6558.759765625,0
2025-01-08,6465.97021484375,6474.5400390625,6400.0,6437.18994140625,0
2025-01-10,6316.58984375,6392.2099609375,6275.75,6390.8798828125,0
2025-01-13,6338.77978515625,6339.93994140625,6236.77001953125,6245.9599609375,0
2025-01-14,6468.66015625,6487.56982421875,6390.5498046875,6403.14990234375,0
2025-01-15,6608.93017578125,6651.18994140625,6569.93994140625,6629.93017578125,0
2025-01-16,6666.7900390625,6678.68017578125,6598.33984375,6604.31005859375,0
2025-01-17,6742.39013671875,6765.35986328125,6714.06005859375,6724.75,0
2025-01-21,6807.56005859375,6817.83984375,6760.43994140625,6799.27978515625,0
2025-01-22,6801.75,6818.60009765625,6768.06005859375,6806.14013671875,0
2025-01-23,6812.10986328125,6838.5400390625,6781.419921875,6781.56982421875,0
2025-01-24,6856.18994140625,6896.02001953125,6826.56005859375,6827.66015625,0
2025-01-27,6822.5,6849.0,6757.1298828125,6787.64013671875,0
2025-01-28,6846.7900390625,6862.6298828125,6809.9501953125,6823.669921875,0
2025-01-29,6843.77001953125,6873.43017578125,6791.080078125,6815.6201171875,0
2025-01-30,6924.47998046875,6961.740234375,6875.9599609375,6899.60009765625,0
2025-01-31,6875.56005859375,6944.91015625,6853.10986328125,6928.68994140625,0
2025-02-03,6813.02001953125,6833.43017578125,6703.9599609375,6722.3798828125,0
2025-02-04,6840.91015625,6866.77001953125,6781.91015625,6785.2001953125,0
2025-02-05,6876.2001953125,6876.52001953125,6819.68017578125,6862.97998046875,0
2025-02-06,6905.64990234375,6931.1298828125,6866.080078125,6929.16015625,0
2025-02-07,6904.27978515625,6947.10009765625,6878.3798828125,6932.81982421875,0
2025-02-10,6849.85986328125,6944.85986328125,6847.31005859375,6938.06005859375,0
2025-02-11,6802.97998046875,6818.509765625,6785.56982421875,6812.830078125,0
2025-02-12,6822.5498046875,6845.16015625,6764.31982421875,6764.31982421875,0
2025-02-13,6973.5400390625,6976.0498046875,6894.490234375,6905.35009765625,0
2025-02-14,6943.240234375,6986.22998046875,6937.27978515625,6973.169921875,0
2025-02-18,6967.4501953125,6976.6201171875,6936.16015625,6963.93994140625,0
2025-02-19,6934.330078125,6947.490234375,6916.64013671875,6944.18017578125,0
2025-02-20,6843.75,6926.06005859375,6782.740234375,6923.5,0
2025-02-21,6681.169921875,6891.0498046875,6674.39013671875,6885.9501953125,0
2025-02-24,6635.0400390625,6716.9599609375,6599.68017578125,6715.08984375,0
2025-02-25,6579.5400390625,6650.52001953125,6515.97021484375,6635.68017578125,0
2025-02-26,6613.52001953125,6670.35009765625,6585.52001953125,6597.2998046875,0
2025-02-27,6615.81005859375,6714.68017578125,6606.56982421875,6653.14990234375,0
2025-02-28,6723.60986328125,6724.89013671875,6617.740234375,6619.14013671875,0
2025-03-03,6633.52978515625,6803.75,6601.169921875,6788.27978515625,0
2025-03-04,6462.43017578125,6584.330078125,6369.06005859375,6568.2900390625,0
2025-03-05,6522.81982421875,6546.669921875,6408.47998046875,6484.169921875,0
2025-03-06,6397.33984375,6478.22998046875,6354.3701171875,6440.7099609375,0
2025-03-07,6396.9599609375,6418.580078125,6243.4501953125,6370.31982421875,0
2025-03-10,6130.89990234375,6301.64990234375,6079.18994140625,6272.56005859375,0
2025-03-11,6128.60986328125,6201.27978515625,6087.97998046875,6156.10986328125,0
2025-03-12,6144.35986328125,6217.31982421875,6072.0,6204.1298828125,0
2025-03-13,6050.509765625,6153.93017578125,6039.60009765625,6136.35986328125,0
2025-03-14,6213.2998046875,6216.47998046875,6113.990234375,6123.8798828125,0
2025-03-17,6330.0400390625,6354.16015625,6206.919921875,6213.35986328125,0
2025-03-18,6286.72021484375,6318.68994140625,6256.47021484375,6302.39990234375,0
2025-03-19,6381.31982421875,6423.66015625,6285.9599609375,6295.27978515625,0
2025-03-20,6357.5498046875,6412.56005859375,6328.64990234375,6333.41015625,0
2025-03-21,6333.52978515625,6344.669921875,6273.580078125,6308.27001953125,0
2025-03-24,6496.20654296875,6506.74853515625,6407.76904296875,6412.72998046875,0
